posx,posy,posz,velx,vely,velz
3780125.66172831,-15361789.8149899,-2392919.48498401,4389.52132528126,727.851434917645,2261.60615875961
3784514.9990523,-15361061.2161038,-2390657.76242871,4389.15325043606,729.346325309006,2261.83891462119
3788903.96808686,-15360331.122363,-2388395.80722761,4388.7847484624,730.841144724056,2262.07145037292
3793292.56840657,-15359599.5338382,-2386133.61960082,4388.41581939605,732.335893017818,2262.30376599216
3797680.79958301,-15358866.4506009,-2383871.19976848,4388.04646327297,733.830570044439,2262.53586145631
3802068.66119083,-15358131.872722,-2381608.54795077,4387.67668012904,735.325175658953,2262.76773674277
3806456.15280098,-15357395.8002735,-2379345.66436787,4387.30647000032,736.819709715327,2262.99939182898
3810843.27398856,-15356658.2333265,-2377082.54923999,4386.93583292276,738.314172068709,2263.2308266924
3815230.02432492,-15355919.1719533,-2374819.20278737,4386.5647689325,739.808562573179,2263.46204131052
3819616.40338418,-15355178.6162254,-2372555.62523027,4386.1932780656,741.302881083598,2263.69303566081
3824002.41073882,-15354436.5662152,-2370291.81678896,4385.82136035825,742.797127454359,2263.92380972082
3828388.04596234,-15353693.0219948,-2368027.77768374,4385.44901584663,744.291301540141,2264.15436346808
3832773.3086283,-15352947.9836364,-2365763.50813494,4385.07624456694,745.785403195643,2264.38469688015
3837158.19830928,-15352201.4512126,-2363499.0083629,4384.70304655551,747.279432275268,2264.61480993462
3841542.71457889,-15351453.4247962,-2361234.278588,4384.32942184863,748.773388633724,2264.84470260909
3845926.85701081,-15350703.9044597,-2358969.31903063,4383.95537048263,750.267272125725,2265.0743748812
3850310.6251777,-15349952.8902764,-2356704.12991119,4383.58089249398,751.761082605698,2265.3038267286
3854694.01865365,-15349200.382319,-2354438.71145013,4383.20598791905,753.254819928469,2265.53305812895
3859077.0370114,-15348446.380661,-2352173.0638679,4382.83065679438,754.748483948481,2265.76206905994
3863459.67982478,-15347690.8853757,-2349907.18738498,4382.45489915648,756.242074520478,2265.9908594993
3867841.94666761,-15346933.8965366,-2347641.08222187,4382.07871504188,757.735591499208,2266.21942942475
3872223.83711311,-15346175.4142173,-2345374.74859911,4381.70210448723,759.229034739229,2266.44777881405
3876605.35073416,-15345415.4384919,-2343108.18673724,4381.32506752919,760.722404095017,2266.67590764499
3880986.48710575,-15344653.9694339,-2340841.39685682,4380.9476042044,762.215699421635,2266.90381589536
3885367.24580051,-15343891.0071178,-2338574.37917846,4380.56971454964,763.708920573471,2267.13150354298
3889747.62639246,-15343126.5516177,-2336307.13392275,4380.19139860166,765.202067405306,2267.35897056569
3894127.62845568,-15342360.6030079,-2334039.66131035,4379.81265639726,766.69513977194,2267.58621694136
3898507.25156324,-15341593.1613631,-2331771.9615619,4379.43348797334,768.188137527872,2267.81324264788
3902886.49528961,-15340824.2267578,-2329504.03489809,4379.05389336676,769.681060528011,2268.04004766315
3907265.35920797,-15340053.7992671,-2327235.88153962,4378.6738726145,771.173908626882,2268.2666319651
3911643.8428932,-15339281.8789656,-2324967.50170721,4378.29342575347,772.666681679496,2268.49299553168
3916021.94591751,-15338508.4659288,-2322698.89562162,4377.9125528208,774.1593795401,2268.71913834086
3920399.66785654,-15337733.5602317,-2320430.0635036,4377.53125385347,775.652002063919,2268.94506037064
3924777.00828326,-15336957.1619499,-2318161.00557395,4377.14952888862,777.144549105408,2269.17076159903
3929153.96677238,-15336179.2711588,-2315891.72205349,4376.76737796337,778.637020519515,2269.39624200406
3933530.54289692,-15335399.8879343,-2313622.21316303,4376.38480111496,780.129416160706,2269.6215015638
3937906.7362327,-15334619.0123519,-2311352.47912345,4376.00179838054,781.621735884238,2269.84654025631
3942282.54635212,-15333836.6444879,-2309082.52015562,4375.61836979747,783.113979544402,2270.07135805971
3946657.9728304,-15333052.7844182,-2306812.33648045,4375.234515403,784.606146996271,2270.29595495212
3951033.01524106,-15332267.4322194,-2304541.92831884,4374.85023523453,786.098238094438,2270.52033091167
3955407.67315867,-15331480.5879677,-2302271.29589175,4374.46552932943,787.590252693801,2270.74448591654
3959781.94615787,-15330692.2517396,-2300000.43942014,4374.08039772512,789.082190649265,2270.9684199449
3964155.83381228,-15329902.4236121,-2297729.359125,4373.69484045912,790.574051815444,2271.19213297497
3968529.33569662,-15329111.1036618,-2295458.05522734,4373.30885756893,792.065836047258,2271.41562498498
3972902.4513856,-15328318.2919657,-2293186.52794819,4372.9224490921,793.557543199628,2271.63889595317
3977275.18045301,-15327523.9886012,-2290914.77750859,4372.53561506626,795.049173127202,2271.86194585783
3981647.52247396,-15326728.1936453,-2288642.80412964,4372.14835552902,796.54072568501,2272.08477467723
3986019.47702228,-15325930.9071757,-2286370.60803242,4371.7606705181,798.032200727708,2272.30738238971
3990391.04367357,-15325132.1292697,-2284098.18943805,4371.37256007119,799.523598110452,2272.5297689736
3994762.22200068,-15324331.8600055,-2281825.54856766,4370.98402422613,801.014917687615,2272.75193440725
3999133.01157994,-15323530.0994605,-2279552.68564243,4370.59506302064,802.506159314558,2272.97387866904
4003503.411985,-15322726.847713,-2277279.60088353,4370.20567649264,803.997322845871,2273.19560173739
4007873.42279122,-15321922.104841,-2275006.29451217,4369.81586467998,805.488408136634,2273.4171035907
4012243.04357232,-15321115.870923,-2272732.76674957,4369.42562762064,806.979415041455,2273.63838420742
4016612.27390478,-15320308.1460371,-2270459.01781698,4369.03496535251,808.47034341572,2273.85944356603
4020981.11336136,-15319498.9302624,-2268185.04793567,4368.64387791373,809.961193113757,2274.08028164501
4025349.56151895,-15318688.2236772,-2265910.85732693,4368.25236534223,811.451963991068,2274.30089842286
4029717.61795039,-15317876.0263609,-2263636.44621207,4367.86042767623,812.942655901996,2274.52129387812
4034085.28223233,-15317062.3383919,-2261361.81481243,4367.46806495378,814.433268701962,2274.74146798934
4038452.55393902,-15316247.1598498,-2259086.96334936,4367.0752772131,815.923802245712,2274.9614207351
4042819.43264513,-15315430.490814,-2256811.89204423,4366.68206449242,817.414256388097,2275.18115209399
4047185.91792606,-15314612.3313637,-2254536.60111845,4366.28842683,818.904630984176,2275.40066204462
4051552.00935687,-15313792.6815787,-2252261.09079343,4365.89436426414,820.394925888912,2275.61995056564
4055917.70651302,-15312971.5415386,-2249985.36129061,4365.49987683317,821.885140957373,2275.83901763571
4060283.00896864,-15312148.9113236,-2247709.41283146,4365.10496457554,823.375276044248,2276.0578632335
4064647.91630062,-15311324.7910133,-2245433.24563745,4364.70962752959,824.865331005011,2276.27648733772
4069012.4280825,-15310499.1806884,-2243156.85993009,4364.31386573387,826.355305694175,2276.4948899271
4073376.54389058,-15309672.0804288,-2240880.25593092,4363.91767922685,827.845199967033,2276.71307098037
4077740.26329944,-15308843.4903153,-2238603.43386146,4363.52106804712,829.3350136784,2276.93103047632
4082103.58588483,-15308013.4104285,-2236326.3939433,4363.12403223326,830.824746683397,2277.14876839373
4086466.51122244,-15307181.840849,-2234049.13639802,4362.72657182388,832.314398837147,2277.3662847114
4090829.03888701,-15306348.7816579,-2231771.66144722,4362.32868685771,833.803969994487,2277.58357940818
