posx,posy,posz,velx,vely,velz
-3430.83535565086,4014.5690938082,3564.77002131976,-0.275843731448737,-0.201249030278309,-0.0384734005725422
-3431.11077581946,4014.36885568896,3564.73064413305,-0.275018473552547,-0.199210859008202,-0.0402543482602668
-3431.38540551105,4014.17069626365,3564.68952176995,-0.274270094069837,-0.197083698028881,-0.0419561625223412
-3431.65939084274,4013.97521002645,3564.64667546008,-0.273792582243265,-0.193281169789059,-0.0437944704191676
-3431.93304050717,4013.78434259458,3564.60193733395,-0.273545479303706,-0.188427543983804,-0.0456342690647518
-3432.20654291503,4013.5984157557,3564.55547153638,-0.273501394095196,-0.183400262711302,-0.0472455578747005
-3432.4798396927,4013.41730182571,3564.50723398091,-0.272826703622745,-0.17910601928329,-0.0495165353310541
-3432.75211939998,4013.24014886062,3564.45634497848,-0.271736493084625,-0.17520797117084,-0.0522528473818353
-3433.02330794064,4013.06689355128,3564.40271873361,-0.270643815993365,-0.171311394627307,-0.0549902634063172
-3433.29340608056,4012.8975360147,3564.34635510842,-0.269555573459295,-0.167413600908084,-0.0577276644306468
-3433.56241452267,4012.73207635102,3564.28725396646,-0.268465811938967,-0.163516017276344,-0.060464735967146
-3433.83033396742,4012.57051466376,3564.22541517665,-0.267378189037189,-0.159618498626332,-0.0632027157671995
-3434.09716517372,4012.41285103746,3564.16083855821,-0.266291274340704,-0.15572021779713,-0.0659398524457967
-3434.36290879106,4012.25908554907,3564.09352396245,-0.265202893503497,-0.151822520290864,-0.0686772109578996
-3434.62756746933,4012.10921152814,3564.02347592941,-0.264182091189183,-0.148163326221096,-0.0712495558314709
-3434.89173945588,4011.96106384723,3563.95220719196,-0.264171622585142,-0.148164750574145,-0.0712626498194782
-3435.1559068552,4011.81289697238,3563.88093723014,-0.264168681679076,-0.148183043801065,-0.0712640808930432
-3435.42006951858,4011.66471145164,3563.80966570646,-0.2641635351908,-0.14820220782854,-0.0712658875178695
-3435.68422742175,4011.51650727109,3563.73839260982,-0.264158212938919,-0.148220934936782,-0.0712669999891638
-3435.94838058487,4011.36828443881,3563.66711794353,-0.264154139521747,-0.148239477934186,-0.0712683424754966
-3436.21252899603,4011.22004295436,3563.59584171055,-0.264148988658459,-0.148258641980771,-0.0712701489965876
-3436.4766726401,4011.07178281848,3563.52456391687,-0.264144889202908,-0.148277287265864,-0.0712716284441239
-3436.74081152956,4010.92350402544,3563.45328454595,-0.264139561261093,-0.148296014341681,-0.0712727407963834
-3437.00555225683,4010.77606907947,3563.38284650314,-0.264530822984551,-0.147326122869257,-0.0717610540351434
-3437.27116032991,4010.6308921169,3563.30945394082,-0.266665246520101,-0.143079659648094,-0.0750983800730129
-3437.5388924514,4010.4898189914,3563.23251395842,-0.268364232460696,-0.139585585024274,-0.0793134169426524
-3437.80813890576,4010.35186486071,3563.15094788138,-0.270155972506345,-0.136395866447025,-0.0838615133928352
-3438.07932322331,4010.21703541796,3563.0647685233,-0.272239754943632,-0.133339733932975,-0.0885383558289799
-3438.35274146007,4010.08518966342,3562.97384871744,-0.274625983480474,-0.1304324035495,-0.093339801739018
-3438.62870059305,4009.95617143115,3562.8780676316,-0.277324908513036,-0.127687998418661,-0.0982580793021409
-3438.90751790285,4009.82980932572,3562.77731138426,-0.280340590097939,-0.125124571819736,-0.103287478600146
-3439.18820873737,4009.70517426599,3562.67082836486,-0.280275181844992,-0.124183364156192,-0.10955321421018
-3439.46947267272,4009.58406348181,3562.56101052525,-0.281601579011347,-0.118547842476754,-0.110571858745273
-3439.75091910698,4009.46739162412,3562.44885425664,-0.281295929049102,-0.114822169409023,-0.113713552396423
-3440.03206016389,4009.35444651597,3562.33355605567,-0.280990557986651,-0.111095781797587,-0.116854363645051
-3440.31289643194,4009.24522789166,3562.21511577287,-0.280684095433181,-0.107370555083078,-0.119996398416658
-3440.59342846698,4009.13973580198,3562.09353296691,-0.280382105768373,-0.103645128333024,-0.123138568143719
-3440.87365686736,4009.03796994663,3561.96880744,-0.280079401535107,-0.0999191455810146,-0.126279943894271
-3441.15358221799,4008.93993014857,3561.84093892307,-0.279775580448743,-0.0961940300590214,-0.129422185240654
-3441.43320505951,4008.84561621866,3561.70992713641,-0.27947382932666,-0.0924698352541682,-0.132565662305225
-3441.71252597925,4008.75502795724,3561.57577178359,-0.279172823205668,-0.088744717052375,-0.135708043156547
-3441.99154548919,4008.66816515799,3561.43847256753,-0.278872687768557,-0.0850201564738652,-0.138851106871423
-3442.27026415727,4008.58502761289,3561.29802918347,-0.278571074594189,-0.0812960162607355,-0.141994461561393
-3442.54868253767,4008.50561510426,3561.1544413169,-0.278271611215386,-0.0775718411056934,-0.145137911642257
-3442.82680508706,4008.42987884017,3561.00774933749,-0.278021566304358,-0.0744519454928725,-0.147776245677747
-3443.10482411126,4008.35543768133,3560.85994737413,-0.278023484904851,-0.0744767727918864,-0.147781288454645
-3443.38284605016,4008.28097263567,3560.71214022365,-0.27802736416832,-0.0745009930538563,-0.147785794307123
-3443.66087087024,4008.20648369536,3560.56432788118,-0.27803009186837,-0.0745254407901244,-0.147790460184442
-3443.93889857756,4008.13197085811,3560.41651034405,-0.278030698830208,-0.0745505676527228,-0.147795732284665
-3444.21692917836,4008.0574341335,3560.26868762392,-0.278034751095914,-0.0745750151467829,-0.147800523475189
-3444.49496263807,4007.98287350526,3560.12085970541,-0.278038595928548,-0.0745989421638065,-0.147804672662912
-3444.77299900489,4007.90828898503,3559.97302659879,-0.278041649240333,-0.0746235468861886,-0.147809553928891
-3445.05103822278,4007.83368056145,3559.8251882965,-0.278044390000612,-0.0746482940177795,-0.147814574364312
-3445.32908034482,4007.75904824881,3559.67734481143,-0.278047078482821,-0.0746724496083455,-0.147818883112514
-3445.60712532032,4007.68439202979,3559.52949612865,-0.278050124548673,-0.0746970564538491,-0.147823763756402
-3445.88517315824,4007.60971191478,3559.38164226035,-0.278053982574458,-0.0747212831911743,-0.147828267645193
-3446.16322389432,4007.53500790293,3559.2337832031,-0.278055489717819,-0.0747453709073039,-0.147832380231675
-3446.44127747959,4007.46027998777,3559.08591895456,-0.278059547849364,-0.0747701205269811,-0.147837525399385
-3446.71933394333,4007.38552817504,3558.93804951963,-0.278061075151344,-0.0747945055310422,-0.14784199317876
-3446.997393242,4007.31075245918,3558.79017489651,-0.278062829649152,-0.074819708732855,-0.147847457978352
-3447.27545541834,4007.23595283473,3558.64229507565,-0.278069309505293,-0.074843641776699,-0.147851857228549
-3447.55352045749,4007.16112931524,3558.49441007523,-0.278069680206471,-0.0748682545868706,-0.147856484367752
-3447.83158833928,4007.08628189381,3558.34651989005,-0.278072552019742,-0.0748929376926228,-0.147861432832389
-3448.10965906219,4007.01141055842,3558.19862450634,-0.278076570897887,-0.0749173956611868,-0.147866221060666
-3448.38773266029,4006.93651532516,3558.05072394117,-0.278080382882655,-0.0749413327237774,-0.147870367485911
-3448.66580909676,4006.86159618167,3557.9028181839,-0.278082073219662,-0.0749659475654892,-0.14787511977673
-3448.94388837224,4006.78665313352,3557.75490724202,-0.278084960208403,-0.0749909295944003,-0.147880422813659
-3449.22197049898,4006.71168617943,3557.60699111377,-0.278087615603529,-0.0750150943774449,-0.147884728576688
-3449.50005546197,4006.63669530965,3557.45906978954,-0.278091418216906,-0.0750390342442201,-0.147888874205726
-3449.77814327495,4006.56168054248,3557.31114329098,-0.278093328002802,-0.075064469560901,-0.147894622534696
-3450.05623390025,4006.48664185782,3557.1632115981,-0.278095006262693,-0.0750890874796104,-0.147899373663643
-3450.33432738723,4006.41157926262,3557.01527471562,-0.278101101002253,-0.0751125786686008,-0.147903198914403
-3450.6124236765,4006.3364927613,3556.86733265504,-0.27810277451264,-0.0751371979142181,-0.147907949647819
-3450.8905228236,4006.26138234812,3556.71938540528,-0.278105465119238,-0.0751619589598768,-0.147912964837724
-3451.16862476657,4006.18624801974,3556.57143296882,-0.278109612559209,-0.0751863548181765,-0.147917681547089
-3451.44672958311,4006.1110897781,3556.42347534165,-0.278109770296785,-0.0752107493518041,-0.147922019139007
-3451.7248371747,4006.03590762744,3556.27551253873,-0.278113782825991,-0.0752355130799279,-0.14792715989041
-3452.00294759972,4005.96070155543,3556.12754454088,-0.278117923061974,-0.0752599112115029,-0.147931876022523
-3452.28106085658,4005.88547157628,3555.97957136587,-0.278119427368481,-0.0752846044157346,-0.147936694485998
-3452.5591769033,4005.81021767539,3555.831593001,-0.278123408064695,-0.0753090742663685,-0.147941479305982
-3452.8372957907,4005.7349398638,3555.68360945572,-0.27812488299498,-0.075333472471512,-0.147945942049278
-3453.11541747019,4005.6596381268,3555.53562071751,-0.278128655076268,-0.0753574215502026,-0.14795008508764
-3453.39354195268,4005.58431247694,3555.38762680139,-0.278130329106039,-0.0753823431539639,-0.147955188726387
-3453.67166925068,4005.50896290844,3555.2396276999,-0.278133329701545,-0.075407266721317,-0.14796041857573
-3453.94979936284,4005.43358942052,3555.09162341326,-0.27813594489767,-0.0754314425848044,-0.14796472070162
-3454.22793228048,4005.35819201632,3554.94361394664,-0.278138582278465,-0.0754559152720336,-0.147969377734848
-3454.50606796911,4005.28277068663,3554.7955992933,-0.278142676404855,-0.075480024000801,-0.147973737053641
-3454.78420646796,4005.20732544084,3554.64757946138,-0.278143033820817,-0.0755052432397052,-0.147979068018579
-3455.06234775818,4005.13185627007,3554.49955444304,-0.278148142888683,-0.0755294951766093,-0.14798369128006
-3455.34049185366,4005.05636317589,3554.35152423958,-0.278150949822291,-0.0755541967811981,-0.147988633586404
-3455.61863873116,4004.98084615868,3554.20348885432,-0.278153550836013,-0.075578376569241,-0.147992934427931
-3455.89678914301,4004.90530607399,3554.05544905921,-0.278159886502488,-0.075598977512517,-0.147993321807223
-3456.17494590312,4004.82974622429,3553.90740779346,-0.278162890291688,-0.0756242040606925,-0.147998904800401
-3456.45310547292,4004.75416244719,3553.75936133972,-0.278165484814504,-0.0756483861997741,-0.148003205141598
-3456.73126781967,4004.67855474719,3553.61130970683,-0.278167105981143,-0.0756730194236456,-0.148007951041452
-3457.00943295697,4004.60292313032,3553.46325290183,-0.278170845760475,-0.0756969787599231,-0.148012091423967
-3457.28760086713,4004.52726759148,3553.31519092088,-0.278172689779639,-0.075722432097869,-0.148017832969705
-3457.56577154018,4004.45158811749,3553.16712375022,-0.27817739596571,-0.0757459424805719,-0.148021527200932
-3457.84394501505,4004.37588473008,3553.0190514127,-0.278179007546261,-0.0757705781915141,-0.14802627221754
-3458.12212124813,4004.3001574215,3552.87097390417,-0.27818199422759,-0.0757958096714286,-0.148031853510578
-3458.40030025738,4004.2244061752,3552.72289120387,-0.278185722238043,-0.0758197725779764,-0.148035992887329
-3458.67848201823,4004.14863100829,3552.57480333544,-0.278188500944381,-0.0758444827189579,-0.148040932612338
-3458.95666657152,4004.07283191655,3552.42671029077,-0.278191098487922,-0.0758689669417233,-0.148045585848111
